Cluster_ID,Strains,PD,MeanPairwiseDist,InternalNodes,SubtreeTerminals
1,"['2223', '2243', '2078', '2194', '1955', '2077', '2049', '2054']",0.83706,0.24231714285714281,7,8
2,"['2202', '1883', '1884', '1885', '1886', '1912', '1913', '1914', '1915', '2109', '2128', '2160', '2170', '2112', '2137', '2135']",0.14235,0.012595916666666667,9,16
3,"['2083', '2157']",0.00165,0.0011,1,2
4,"['2158', '2242', '2081', '2168', '2166', '2159', '2219', '1812', '1814', '1815', '2094']",0.03124,0.003916,9,11
5,"['2074', '2097', '2197', '2198', '2110', '2161', '1862', '2185', '2027']",0.11052,0.01286388888888889,7,9
6,"['1892', '1893', '2240', '2127', '2224', '1890', '1925', '2217', '1934', '2031', '2154', '1905', '2201', '2047', '2214']",0.18628,0.03924266666666666,14,15
7,"['2220', '2028', '2008', '2195', '1898', '1936', '2075', '2079', '2222', '1845', '1849', '1863', '1864', '2009', '1901', '2076', '2221']",1.87298,0.09214205882352941,58,66
8,"['2045', '1927', '2188', '2145']",1.92061,0.08899166666666665,71,80
9,"['2093', '2204', '1982', '2085', '2147', '2241', '2030', '2096', '2101']",0.00843,0.002453888888888889,8,9
