Component_1,Component_2,Cluster
0.034532444599553735,0.5083577921331542,3
0.0190811957279598,0.5378320560139671,3
-0.12297703954693154,-0.1331181418850797,7
-0.10994904940099866,-0.13350054654595575,7
-0.12916993649852523,-0.09196834175020946,7
-0.12916993649852523,-0.09196834175020946,7
-0.16615100209210767,-0.24990336477463093,5
-0.17397175019686337,-0.18130618607541274,5
-0.17807628828343508,-0.21927153031184285,5
-0.1763458292133084,-0.22197178305578646,5
-0.14858379388584966,0.02038792680220514,5
-0.18494911459499325,-0.05054019071414118,5
-0.1638504712349886,-0.1512611361410953,5
-0.1356814324259452,0.2652661178138607,5
-0.08286983652757343,-0.1369753419553829,5
0.049207297231103196,0.07133511286015597,2
-0.16314297284361945,-0.2031281769847838,2
-0.16314297284361945,-0.2031281769847838,2
-0.16314297284361945,-0.2031281769847838,2
-0.16314297284361945,-0.2031281769847838,2
-0.16314297284361945,-0.2031281769847838,2
-0.16314297284361945,-0.2031281769847838,2
-0.16314297284361945,-0.2031281769847838,2
-0.16314297284361945,-0.2031281769847838,2
-0.16314297284361945,-0.2031281769847838,2
-0.16314297284361945,-0.2031281769847838,2
-0.16835633696100546,-0.20820172587695576,2
-0.16314297284361945,-0.2031281769847838,2
-0.12649141533409636,-0.10221769580815171,2
-0.12649141533409636,-0.10221769580815171,2
-0.12649141533409636,-0.10221769580815171,2
0.2803001710514509,-0.07593097988778168,1
0.4056963933329494,-0.1690462474288655,1
0.5321645966483673,0.0370640010679797,1
0.5412569158871364,0.024312165504070192,1
0.7768358076241614,-0.046656941924000835,1
0.44758785938241047,-0.0015322427599047304,1
0.46524967018215435,0.046319108608822906,1
0.7764099212496172,-0.09203081009642311,1
-0.08642466139668553,-0.009115365366015475,8
-0.07730487906221707,-0.16107347983626935,6
-0.07530611430825625,-0.1548875636806943,6
-0.07075851788716815,-0.17669124914281625,6
-0.10909589290753034,-0.15858349672074548,6
-0.11011703187217989,-0.17646301888057098,6
-0.1404569168760354,-0.2287915761262938,6
-0.13297205801405634,-0.21389933779869577,6
-0.1267384633271454,-0.211517905416148,6
-0.1552946791781899,-0.18720158063790795,6
-0.12590970501669368,-0.18543735300222805,6
-0.1384967455310745,-0.2606254090606417,6
-0.060254341633549154,-0.15310814394750932,6
-0.14758150838627573,-0.28968585381003487,6
-0.11265505807971281,-0.20318711072424483,6
-0.12115272135258635,-0.20514139021987568,6
-0.010195009882278113,0.0707275185573097,7
-0.1849104807436624,-0.19338275624247528,7
-0.10566693121558851,-0.05885812825966702,7
-0.14054211301983038,-0.10731874764435571,7
-0.12016515380966562,-0.16309340478140985,7
-0.06520454970968474,-0.07280884839566859,7
-0.11116777584284364,-0.07862712617929035,7
-0.08691294210099247,-0.08669181737736388,7
-0.08691294210099247,-0.08669181737736388,7
-0.08691294210099247,-0.08669181737736388,7
-0.11686061878957639,-0.08117052189090508,7
-0.11613290233916727,-0.13522255990371046,7
2.328796404975316,-0.534780371969566,7
0.036355196388356104,0.15522240961687772,4
0.06629213456953113,0.11494492492940939,4
-0.012504777988273406,0.09051917996124527,4
0.011860901452260103,0.130933951081061,4
0.02082075715651711,0.14797254601683515,4
0.009164825343238356,0.08404541110683876,4
0.021288925374839358,0.13271890915124662,4
0.030185952457642846,0.1288570590882624,4
0.030185952457642846,0.1288570590882624,4
0.030185952457642846,0.1288570590882624,4
0.030185952457642846,0.1288570590882624,4
0.040602634438273486,0.5659084118468783,8
0.040602634438273486,0.5659084118468783,8
0.040602634438273486,0.5659084118468783,8
0.02833954764796006,0.5495075922680245,9
0.02787137942963782,0.564761229133613,9
0.02833954764796006,0.5495075922680245,9
0.02787137942963782,0.564761229133613,9
0.0190811957279598,0.5378320560139671,9
0.03406427638123149,0.5236114289987428,9
0.03406427638123149,0.5236114289987428,9
0.003505699989104305,0.5243464580137972,9
0.01016676515902024,0.4679430210133382,9
